target,config_id,algorithm,feature_set,deployable_from_manual_ui,alpha,k,transformed,max_depth,learning_rate,n_estimators,mae,rmse,median_ae,max_ae,bias,r2,spearman
ee,ridge|mechanistic_full|alpha=30.0,ridge,mechanistic_full,False,30.0,,,,,,6.0965481996692565,11.035456260462407,3.0641770818905343,43.523536555758724,3.011475811854533,0.058248428931003904,0.5385881549869681
ee,xgboost|mechanism_hybrid|max_depth=1|learning_rate=0.05|n_estimators=100,xgboost,mechanism_hybrid,False,,,,1,0.05,100,6.102475949841105,10.378744342525,3.7893610861074762,42.35846748158038,1.9877736152670424,0.16699924647448516,0.5598414260118247
ee,xgboost|mechanism_hybrid|max_depth=2|learning_rate=0.05|n_estimators=100,xgboost,mechanism_hybrid,False,,,,2,0.05,100,6.104673804199636,10.551762103892065,3.819043192846145,43.749663149905246,2.0414801465320194,0.13899485169692372,0.5419460154220841
ee,xgboost|steric_hybrid|max_depth=1|learning_rate=0.1|n_estimators=100,xgboost,steric_hybrid,False,,,,1,0.1,100,6.107251975430533,10.824679577636315,3.6204730548558857,40.80886647750782,1.659033500086519,0.09387968953116377,0.46640978067473876
ee,xgboost|manual_core|max_depth=2|learning_rate=0.05|n_estimators=100,xgboost,manual_core,True,,,,2,0.05,100,6.109455530621266,10.746077339894727,3.9820980776928394,43.76187505882133,2.074573495637223,0.10699130067928908,0.562578990296892
ee,xgboost|manual_core|max_depth=1|learning_rate=0.1|n_estimators=100,xgboost,manual_core,True,,,,1,0.1,100,6.116431017496885,10.517485779501481,3.6705083158475134,42.27845927481144,1.9717007645104805,0.14457954133702378,0.5273879978134722
ee,xgboost|manual_expanded|max_depth=2|learning_rate=0.1|n_estimators=100,xgboost,manual_expanded,True,,,,2,0.1,100,6.1292663535991165,10.467766300288245,3.4715187890813937,42.66639757837598,1.847775480500131,0.15264811052214267,0.5279862943920375
ee,ridge|manual_expanded|alpha=30.0,ridge,manual_expanded,True,30.0,,,,,,6.145956728515264,11.094110624551021,3.4520384890193014,44.609888076601706,3.178285138293457,0.04821084913919116,0.5477428945718027
ee,knn|discriminating_2d|k=3|transformed=False,knn,discriminating_2d,True,,3,False,,,,6.151615108848111,11.000379278074515,3.428370927303334,43.19783953887293,2.20270582389941,0.06422576278063463,0.46133304960129207
ee,xgboost|physchem_compact|max_depth=2|learning_rate=0.05|n_estimators=100,xgboost,physchem_compact,False,,,,2,0.05,100,6.152043038228579,10.857159895120105,3.8574393901451955,44.65283200678715,2.9773611732790592,0.08843375825905808,0.5012093847740998
ee,knn|mechanism_hybrid|k=3|transformed=False,knn,mechanism_hybrid,False,,3,False,,,,6.154401196373805,10.670773086103164,3.798849867684602,43.07397044421293,1.8582414698471947,0.1194631506766487,0.6547609669752229
ee,knn|discriminating_2d|k=4|transformed=True,knn,discriminating_2d,True,,4,True,,,,6.197788301116467,11.1748741218997,3.6935656012928035,44.01432009366124,2.56131862023819,0.0343026371734555,0.46477070272797827
ee,xgboost|manual_expanded|max_depth=2|learning_rate=0.05|n_estimators=100,xgboost,manual_expanded,True,,,,2,0.05,100,6.201316725295225,10.861109673972761,3.598661859635719,44.2260594435228,2.113665258548261,0.08777039140839504,0.4515264396268501
